,,CPI (Cycles Per Instruction),IPC (Instructions Per Cycle),ROB Utilization,Execution Rate,,,Branch Prediction Accuracy,Branch Prediction Accuracy
Configuration,simSeconds,system.cpu.cpi,system.cpu.ipc,system.cpu.numIssuedDist::mean,system.cpu.issueRate,system.cpu.decode.blockedCycles,system.cpu.fetch.icacheStallCycles,system.cpu.commit.branchMispredicts,system.cpu.branchPred.condIncorrect
2bit_96_6,0.009397,0.699359,1.42988,2.707542,2.702372,2993134,5866882,388425,388408
bimode_96_6,0.008627,0.642073,1.557455,2.820261,2.814463,2527758,5397174,301746,301670
large,0.00587,0.436864,2.289041,3.621123,3.610481,323950,4130809,48168,48127
ltage_96_6,0.006545,0.487087,2.05302,3.22533,3.21628,671546,4078951,48275,48228
small,0.017325,1.289431,0.775536,1.254241,1.252735,7699443,5000752,388039,388112
tournament_128_6,0.00716,0.532887,1.876569,3.080457,3.073105,1377076,4470752,125340,125310
tournament_160_6,0.00716,0.532887,1.87657,3.080642,3.07315,1376421,4470844,125342,125310
tournament_16_6,0.014093,1.04887,0.953407,1.480552,1.478644,18395281,4572796,124802,124878
tournament_192_6,0.00716,0.532893,1.876549,3.080612,3.073121,1376297,4470851,125343,125311
tournament_32_6,0.008865,0.659804,1.515603,2.426904,2.422173,7775679,4596258,124925,124956
tournament_64_6,0.007166,0.533311,1.875079,3.077531,3.069952,1395282,4469150,125289,125252
tournament_96_2,0.013658,1.016467,0.9838,1.542113,1.53977,258091,4032619,125169,125144
tournament_96_4,0.008694,0.647015,1.545558,2.489379,2.484112,541814,4410307,125248,125199
tournament_96_5,0.008069,0.600541,1.665165,2.708576,2.702505,439743,4448053,125297,125266
tournament_96_6,0.00716,0.532917,1.876466,3.080178,3.072744,1378840,4470034,125316,125293
tournament_96_7,0.007108,0.529009,1.890328,3.106063,3.09828,552633,4486065,125398,125407
tournament_96_8,0.006533,0.486248,2.056562,3.433921,3.42509,706216,4613253,125528,125499
