Configuration,simSeconds,system.cpu.cpi,system.cpu.ipc,system.cpu.numIssuedDist::mean,system.cpu.issueRate,system.cpu.decode.blockedCycles,system.cpu.fetch.icacheStallCycles,system.cpu.commit.branchMispredicts,system.cpu.branchPred.condIncorrect,relative_simSeconds,relative_system.cpu.cpi,relative_system.cpu.ipc,relative_system.cpu.numIssuedDist::mean,relative_system.cpu.issueRate,relative_system.cpu.decode.blockedCycles,relative_system.cpu.fetch.icacheStallCycles,relative_system.cpu.commit.branchMispredicts,relative_system.cpu.branchPred.condIncorrect
2bit_96_6,0.009397,0.699359,1.42988,2.707542,2.702372,2993134.0,5866882.0,388425.0,388408.0,1.0608207716315825,1.0608012571398695,0.8651570076765193,0.9959491663227158,0.9963422957746384,1.021974121136783,1.2789163377061519,2.4660523219987676,2.466202280596257
bimode_96_6,0.008627,0.642073,1.557455,2.820261,2.814463,2527758.0,5397174.0,301746.0,301670.0,0.973896009031144,0.9739087444010408,0.9423469853350165,1.0374120112494907,1.037669324131828,0.8630763809760847,1.1765251126651026,1.9157402946613633,1.9154580801308747
large,0.00587,0.436864,2.289041,3.621123,3.610481,323950.0,4130809.0,48168.0,48127.0,0.6626602032007437,0.6626437643601526,1.3849972459289364,1.332003135316834,1.3311546035818578,0.11060932004456228,0.9004713437297037,0.3058114391350624,0.30558309086902447
ltage_96_6,0.006545,0.487087,2.05302,3.22533,3.21628,671546.0,4078951.0,48275.0,48228.0,0.7388604821037252,0.7388229820971599,1.2421914006070773,1.186413627052007,1.1858159420886738,0.229292318069596,0.8891668648871489,0.3064907661568913,0.3062243918472232
small,0.017325,1.289431,0.775536,1.254241,1.252735,7699443.0,5000752.0,388039.0,388112.0,1.955807158509861,1.9558338790165268,0.46924245748273774,0.46136321368893607,0.46187307517145737,2.6288938260591594,1.0901094369405613,2.4636016656396467,2.46432282426411
tournament_128_6,0.00716,0.532887,1.876569,3.080457,3.073105,1377076.0,4470752.0,125340.0,125310.0,0.8082874028819974,0.8082933078912171,1.1354287218077868,1.1331231726203967,1.1330284989840482,0.4701881154798137,0.9745752129721468,0.7957649431404402,0.7956576789909501
tournament_160_6,0.00716,0.532887,1.87657,3.080642,3.07315,1376421.0,4470844.0,125342.0,125310.0,0.8082874028819974,0.8082933078912171,1.1354293268634612,1.1331912234930221,1.1330450901133635,0.4699644726194056,0.9745952679695148,0.7957776408417828,0.7956576789909501
tournament_16_6,0.014093,1.04887,0.953407,1.480552,1.478644,18395281.0,4572796.0,124802.0,124878.0,1.5909489341921772,1.590946301650933,0.5768643153396419,0.5446100300927667,0.5451638625597788,6.2808752074044,0.9968196928790013,0.7923492614792822,0.7929146886683573
tournament_192_6,0.00716,0.532893,1.876549,3.080612,3.073121,1376297.0,4470851.0,125343.0,125311.0,0.8082874028819974,0.8083024088072599,1.1354166206942993,1.1331801882163801,1.133034398052249,0.46992213412369477,0.9745967938932276,0.7957839896924541,0.7956640285055857
tournament_32_6,0.008865,0.659804,1.515603,2.426904,2.422173,7775679.0,4596258.0,124925.0,124956.0,1.000763662925825,1.0008034681271198,0.917024195251039,0.8927185674479894,0.8930352325968975,2.6549238063737675,1.001934153186071,0.7931301701118517,0.7934099508099366
tournament_64_6,0.007166,0.533311,1.875079,3.077531,3.069952,1395282.0,4469150.0,125289.0,125252.0,0.8089647386944683,0.8089364392915812,1.1345271888529667,1.1320468653052524,1.1318660138566943,0.4764043626807129,0.9742259944310195,0.7954411517562041,0.7952894071420834
tournament_96_2,0.013658,1.016467,0.9838,1.542113,1.53977,258091.0,4032619.0,125169.0,125144.0,1.5418420877880337,1.541796804561308,0.5952537724509467,0.5672547856045898,0.5677005152380631,0.08812245722988463,0.8790669938212913,0.7946792896756484,0.7946036595614353
tournament_96_4,0.008694,0.647015,1.545558,2.489379,2.484112,541814.0,4410307.0,125248.0,125199.0,0.981459592270403,0.9814048655817008,0.9351486379769671,0.9156995310548371,0.9158716316781438,0.18499669125057713,0.9613988617122018,0.7951808488786809,0.794952882866395
tournament_96_5,0.008069,0.600541,1.665165,2.708576,2.702505,439743.0,4448053.0,125297.0,125266.0,0.910903778471346,0.9109122035521591,1.0075175320220378,0.996329515524308,0.996391331779059,0.15014562193040887,0.9696270783497711,0.7954919425615744,0.7953783003469823
tournament_96_6,0.00716,0.532917,1.876466,3.080178,3.072744,1378840.0,4470034.0,125316.0,125293.0,0.8082874028819974,0.8083388124714315,1.135366401073326,1.1330205445476267,1.132895401257764,0.4707904147252485,0.9744186967970349,0.7956125707243291,0.7955497372421443
tournament_96_7,0.007108,0.529009,1.890328,3.106063,3.09828,552633.0,4486065.0,125398.0,125407.0,0.8024171591739159,0.8024110824888294,1.1437536828315238,1.1425421490768504,1.1423103141065134,0.1886907250013477,0.9779132800884266,0.7961331764793755,0.7962735819106063
tournament_96_8,0.006533,0.486248,2.056562,3.433921,3.42509,706216.0,4613253.0,125528.0,125499.0,0.7375058104787834,0.7375503706704959,1.2443345078057164,1.263142273385996,1.2628024690289703,0.24113002489455346,1.005638877971624,0.7969585270666442,0.7968577372570843
